Data,Horário,Manobra,Berço,Bordo,Navio,Rota,Loa,Boca,Calado,Situação,Origem
13/03/2026,TBC,Saída,JBS 2,BE,JAZAN,,30610,4000,"10,97/11,47",Navegando para Itajaí,Itajaí/NVT (ZP-21)
13/03/2026,TBC,Saída,PNAVE 01,BB,LOG-IN POLARIS,,18600,3480,"8,10/8,20",Navegando para Itajaí,Itajaí/NVT (ZP-21)
13/03/2026,TBC,Entrada,PNAVE 01,,MELINA,,26005,3225,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
14/03/2026,TBC,Saída,PNAVE 01,,MELINA,,26005,3225,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
16/03/2026,TBC,Saída,PNAVE,,CZECH,,29998,4820,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
16/03/2026,TBC,Entrada,JBS 2,,LAUST MAERSK,,26600,3753,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
17/03/2026,TBC,Saída,JBS,,LAUST MAERSK,,26600,3753,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
18/03/2026,TBC,Saída,PNAVE 01,,LOG-IN JACARANDA,,21845,2980,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
18/03/2026,TBC,Entrada,PNAVE,,MSC MELINE,,29995,4820,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
19/03/2026,TBC,Saída,PNAVE,,MSC MELINE,,29995,4820,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
27/03/2026,TBC,Entrada,TEPORTI,,ACADIA DESGAGNES,,11980,1820,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
14/03/2026,11:00 ETB,Entrada,JBS 2,BE,MIRADOR EXPRESS,,24335,3220,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
14/03/2026,19:00 ETB,Entrada,PORTO ITAJAI - 04,BB,MSC MAXINE,,29990,4820,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
14/03/2026,23:00 ETS,Saída,JBS 2,BE,MIRADOR EXPRESS,,24335,3220,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
15/03/2026,00:00 ETB,Entrada,JBS 2,BB,MSC PINA,,33667,4560,"9,40/9,80",Navegando para Itajaí,Itajaí/NVT (ZP-21)
15/03/2026,TBC,Saída,JBS 2,BB,MSC PINA,,33667,4560,"9,60/10,50",Navegando para Itajaí,Itajaí/NVT (ZP-21)
15/03/2026,TBC,Entrada,JBS 1,BB,NC BRISA,,22400,3480,"7,60/9,20",Navegando para Itajaí,Itajaí/NVT (ZP-21)
16/03/2026,TBC,Entrada,JBS 2,BE,MSC URSULA VI,,28500,4000,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
16/03/2026,TBC,Saída,JBS 1,BB,NC BRISA,,22400,3480,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
16/03/2026,TBC,Saída,PORTO ITAJAI - 04,BB,MSC MAXINE,Bacia 2,29990,4820,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
16/03/2026,TBC,Entrada,PNAVE 01,BB,MSC MELINE,,29995,4820,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
17/03/2026,TBC,Saída,JBS 2,BB,MSC URSULA VI,,28500,4000,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
17/03/2026,TBC,Saída,PNAVE 01,BB,MSC MELINE,,29995,4820,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
17/03/2026,TBC,Entrada,PNAVE 01,BB,LOG-IN JACARANDA,,21845,2980,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
20/03/2026,TBC,Entrada,JBS,,MSC YAMUNA VI,,28054,4000,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
20/03/2026,TBC,Saída,JBS,,MSC YAMUNA VI,,28054,4000,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
15/03/2026,13:00 ETS,Saída,PNAVE 01,BE,MSC SARY,Bacia 2,33500,4560,"7,10/9,60",Atracado,Itajaí/NVT (ZP-21)
16/03/2026,12:00 ETS,Saída,PNAVE 01,BE,KOTA PUSAKA,Bacia 2,33000,4820,"11,10/12,10",Atracado,Itajaí/NVT (ZP-21)
